model_id,sequence_length,block_size,op_type,op_name,sm_ai_partition,timed_iteration,duration_us,baseline_vram_bytes,peak_vram_bytes,dynamic_workspace_bytes,output_bytes,decode_mode,telemetry_ts,telemetry_tier,telemetry_provider,telemetry_status,gpu_util,gpu_mem_used_mb,sm_clock_mhz,mem_clock_mhz,power_w,pt_step_ms,pt_mem_alloc_mb,pt_mem_reserved_mb,pt_workspace_mb,nvml_available,sampling_error,acu_pct,gbu_pct,smu_pct,microscopic_telemetry_status,microscopic_error,point_id,public_status,failure_kind,failure_cause,raw_output_path
facebook/opt-125m,1024,64,gemv,v_proj,8,1,61.43999844789505,26892800,26894336,1536,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,out_proj,8,1,61.43999844789505,26892800,26894336,1536,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,fc1,8,1,70.52800059318542,26892800,26898944,6144,6144,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,fc2,8,1,63.58399987220764,26892800,26894336,1536,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,attention_fetch_compute,,8,1,2030.5919647216797,26892800,26937856,45056,25344,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,reduction_overhead,,8,1,780.2879810333252,26933760,26939904,6144,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,q_proj,8,2,71.68000191450119,26892800,26894336,1536,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,k_proj,8,2,62.463998794555664,26892800,26894336,1536,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,v_proj,8,2,59.51999872922897,26892800,26894336,1536,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
facebook/opt-125m,1024,64,gemv,out_proj,8,2,61.43999844789505,26892800,26894336,1536,1536,vram,2026-04-14T01:01:56Z,baseline_nvml_pt,nvidia-smi,ok,1.0,16207.0,1695.0,7601.0,49.47,2.352128028869629,25.69189453125,25.69189453125,0.04296875,True,,,,,unavailable,,decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8,success,,,/mnt/data/dheeraj/dicertation/inference-profile/runs/revised-ran-dgxspark-smoke/raw/points/decode/decode-facebook-opt-125m-seq-1024-block-64-mode-vram-sm-8.csv
