model_id,chunk_tokens,sequence_length,num_hidden_layers,hidden_size,num_attention_heads,ffn_dim,layer_index,layer_weight_bytes,total_weight_bytes_fp16,total_memory_bytes,vram_ceiling_bytes,kv_bytes_per_token_all_layers,sm_ai_partitions_profiled,pcie_exposed_us,pcie_transfer_only_us,pcie_overlap_total_us,pcie_dummy_compute_us,pcie_effective_gbps,pcie_overlap_status,prefill_max_gemm_us_sm8,prefill_max_gemm_us_sm16,prefill_max_gemm_us_sm24,prefill_max_gemm_us_sm32,prefill_workspace_bytes_sm8,prefill_workspace_bytes_sm16,prefill_workspace_bytes_sm24,prefill_workspace_bytes_sm32,prefill_parked_activation_bytes_sm8,prefill_parked_activation_bytes_sm16,prefill_parked_activation_bytes_sm24,prefill_parked_activation_bytes_sm32,decode_max_gemv_us_vram_sm8,decode_max_gemv_us_vram_sm16,decode_max_gemv_us_vram_sm24,decode_max_gemv_us_vram_sm32,decode_max_gemv_us_pcie_async_sm8,decode_max_gemv_us_pcie_async_sm16,decode_max_gemv_us_pcie_async_sm24,decode_max_gemv_us_pcie_async_sm32,attention_fetch_compute_us_vram_sm8,attention_fetch_compute_us_vram_sm16,attention_fetch_compute_us_vram_sm24,attention_fetch_compute_us_vram_sm32,attention_fetch_compute_us_pcie_async_sm8,attention_fetch_compute_us_pcie_async_sm16,attention_fetch_compute_us_pcie_async_sm24,attention_fetch_compute_us_pcie_async_sm32,reduction_overhead_us_vram_sm8,reduction_overhead_us_vram_sm16,reduction_overhead_us_vram_sm24,reduction_overhead_us_vram_sm32,reduction_overhead_us_pcie_async_sm8,reduction_overhead_us_pcie_async_sm16,reduction_overhead_us_pcie_async_sm24,reduction_overhead_us_pcie_async_sm32,decode_workspace_bytes_vram_sm8,decode_workspace_bytes_vram_sm16,decode_workspace_bytes_vram_sm24,decode_workspace_bytes_vram_sm32,decode_workspace_bytes_pcie_async_sm8,decode_workspace_bytes_pcie_async_sm16,decode_workspace_bytes_pcie_async_sm24,decode_workspace_bytes_pcie_async_sm32,decode_parked_activation_bytes_vram_sm8,decode_parked_activation_bytes_vram_sm16,decode_parked_activation_bytes_vram_sm24,decode_parked_activation_bytes_vram_sm32,decode_parked_activation_bytes_pcie_async_sm8,decode_parked_activation_bytes_pcie_async_sm16,decode_parked_activation_bytes_pcie_async_sm24,decode_parked_activation_bytes_pcie_async_sm32,prefill_telemetry_tier,prefill_telemetry_provider,prefill_telemetry_status,prefill_nvml_available,prefill_gpu_util,prefill_gpu_mem_used_mb,prefill_sm_clock_mhz,prefill_mem_clock_mhz,prefill_power_w,prefill_pt_step_ms,prefill_pt_mem_alloc_mb,prefill_pt_mem_reserved_mb,prefill_pt_workspace_mb,prefill_acu_pct,prefill_gbu_pct,prefill_smu_pct,prefill_microscopic_telemetry_status,prefill_microscopic_error,decode_vram_telemetry_tier,decode_vram_telemetry_provider,decode_vram_telemetry_status,decode_vram_nvml_available,decode_vram_gpu_util,decode_vram_gpu_mem_used_mb,decode_vram_sm_clock_mhz,decode_vram_mem_clock_mhz,decode_vram_power_w,decode_vram_pt_step_ms,decode_vram_pt_mem_alloc_mb,decode_vram_pt_mem_reserved_mb,decode_vram_pt_workspace_mb,decode_vram_acu_pct,decode_vram_gbu_pct,decode_vram_smu_pct,decode_vram_microscopic_telemetry_status,decode_vram_microscopic_error,decode_pcie_async_telemetry_tier,decode_pcie_async_telemetry_provider,decode_pcie_async_telemetry_status,decode_pcie_async_nvml_available,decode_pcie_async_gpu_util,decode_pcie_async_gpu_mem_used_mb,decode_pcie_async_sm_clock_mhz,decode_pcie_async_mem_clock_mhz,decode_pcie_async_power_w,decode_pcie_async_pt_step_ms,decode_pcie_async_pt_mem_alloc_mb,decode_pcie_async_pt_mem_reserved_mb,decode_pcie_async_pt_workspace_mb,decode_pcie_async_acu_pct,decode_pcie_async_gbu_pct,decode_pcie_async_smu_pct,decode_pcie_async_microscopic_telemetry_status,decode_pcie_async_microscopic_error,pcie_telemetry_tier,pcie_telemetry_provider,pcie_telemetry_status,pcie_nvml_available,pcie_gpu_util,pcie_gpu_mem_used_mb,pcie_sm_clock_mhz,pcie_mem_clock_mhz,pcie_power_w,pcie_pt_step_ms,pcie_pt_mem_alloc_mb,pcie_pt_mem_reserved_mb,pcie_pt_workspace_mb,pcie_acu_pct,pcie_gbu_pct,pcie_smu_pct,pcie_microscopic_telemetry_status,pcie_microscopic_error
facebook/opt-1.3b,64,1024,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,268.2660043239593,232.39680230617523,32337.64333724976,32069.3773329258,2.2560035026181966,measured,108.5439994931221,99.48799759149551,103.16800326108932,98.30400347709656,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,221.9839990139008,154.4959992170334,164.86400365829468,174.17599260807037,139.26400244235992,155.64799308776855,159.743994474411,166.75199568271637,1882.9248189926147,1809.7599983215327,1764.1984224319458,1824.236798286438,1804.307222366333,1945.5552101135252,1806.598401069641,1779.583978652954,724.9343872070312,675.059187412262,657.8176021575928,683.1552028656006,678.3231973648071,745.088005065918,678.9183974266052,660.6207847595215,93696,93696,93696,93696,93696,93696,93696,93696,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,2.75,15.0,1695.0,7701.0,71.4525,0.10237600095570086,108.16015625,108.16015625,1.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.0,15.0,1695.0,7601.0,71.7075,1.8529359996318817,112.27490234375,112.27490234375,0.08935546875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7701.0,71.645,1.8905120193958282,112.27490234375,112.27490234375,0.08935546875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.14,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,64,2048,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,268.2660043239593,232.39680230617523,32337.64333724976,32069.3773329258,2.2560035026181966,measured,108.5439994931221,99.48799759149551,103.16800326108932,98.30400347709656,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,183.2959949970245,162.81600296497345,151.48800611495972,158.720001578331,160.5439931154251,153.3759981393814,151.32799744606018,153.50399911403656,3733.548831939697,3834.259176254273,4191.641664505005,3861.7151737213135,3812.960004806519,4688.652801513672,4216.735935211182,4264.723205566406,1166.739201545715,1209.7087860107422,1243.5839891433716,1201.5552282333374,1222.8608131408691,1193.939208984375,1173.913598060608,1217.631983757019,175616,175616,175616,175616,175616,175616,175616,175616,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,2.75,15.0,1695.0,7701.0,71.4525,0.10237600095570086,108.16015625,108.16015625,1.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7701.0,71.79499999999999,5.416687965393066,120.35302734375,120.35302734375,0.16748046875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.25,15.0,1695.0,7601.0,71.67,7.179247975349426,120.35302734375,120.35302734375,0.16748046875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.14,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,64,4096,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,268.2660043239593,232.39680230617523,32337.64333724976,32069.3773329258,2.2560035026181966,measured,108.5439994931221,99.48799759149551,103.16800326108932,98.30400347709656,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,155.5200070142746,159.743994474411,157.69599378108978,170.17599940299988,179.19999361038208,150.52799880504608,179.9360066652298,202.8799951076508,7011.974334716797,6983.398342132568,6849.3120193481445,7148.767948150635,6908.140850067139,7035.142517089844,7178.495979309082,7461.529636383057,2229.6767711639404,2231.449556350708,2214.131259918213,2234.3104362487798,2211.0464096069336,2432.6784133911133,2436.473655700684,2698.4320163726807,339456,339456,339456,339456,339456,339456,339456,339456,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,2.75,15.0,1695.0,7701.0,71.4525,0.10237600095570086,108.16015625,108.16015625,1.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7601.0,71.8725,7.205327987670898,136.50927734375,136.50927734375,0.32373046875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7601.0,72.0,7.400392055511475,136.50927734375,136.50927734375,0.32373046875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.14,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,64,8192,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,268.2660043239593,232.39680230617523,32337.64333724976,32069.3773329258,2.2560035026181966,measured,108.5439994931221,99.48799759149551,103.16800326108932,98.30400347709656,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,310.2720081806183,152.5759994983673,157.85600244998932,161.79199516773224,170.9119975566864,188.48000466823572,170.23999989032745,148.47999811172485,13945.446586608889,13744.012832641602,14090.847778320312,13556.204795837402,13985.804748535156,13788.56964111328,14076.300811767578,13574.34253692627,4587.916851043701,4242.879867553711,4595.865535736084,4554.054355621338,4547.206401824951,4264.761543273926,4760.793590545654,4412.832164764404,667136,667136,667136,667136,667136,667136,667136,667136,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,2.75,15.0,1695.0,7701.0,71.4525,0.10237600095570086,108.16015625,108.16015625,1.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,6.0,15.0,1695.0,7601.0,72.07,14.399967908859253,168.82177734375,168.82177734375,0.63623046875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,17.25,15.0,1695.0,7601.0,72.16749999999999,14.173223972320557,168.82177734375,168.82177734375,0.63623046875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.14,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,128,1024,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,292.2646224498821,355.9871971607208,42696.9228386879,42404.658216238015,2.945544132944168,measured,113.66400122642516,119.80800330638884,112.64000087976456,113.63200098276138,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,167.80799627304077,154.62400019168854,153.72799336910248,168.12799870967865,206.8479955196381,162.81600296497345,146.43199741840365,165.75999557971954,947.1807837486268,940.8960103988647,954.3935894966124,954.2400002479552,1040.7936096191406,944.5119857788086,957.8559994697572,933.5487961769104,414.3615961074829,388.92160058021545,397.90719747543335,402.38080620765686,481.32479786872864,415.1615977287293,407.1615934371948,393.60640048980713,69120,69120,69120,69120,69120,69120,69120,69120,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7701.0,71.875,0.11493600159883494,111.16015625,111.16015625,2.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,2.0,15.0,1695.0,7601.0,71.575,0.9596000015735625,112.24951171875,112.24951171875,0.06591796875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.5,15.0,1695.0,7701.0,71.625,0.9981839954853058,112.24951171875,112.24951171875,0.06591796875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.08,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,128,2048,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,292.2646224498821,355.9871971607208,42696.9228386879,42404.658216238015,2.945544132944168,measured,113.66400122642516,119.80800330638884,112.64000087976456,113.63200098276138,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,195.360004901886,157.75999426841736,153.53600680828094,181.2479943037033,147.45600521564484,150.36800503730774,169.11999881267548,280.60799837112427,1728.6975860595703,1751.5968084335327,1799.238395690918,1847.6671695709229,1841.9903993606567,1791.590428352356,1878.374409675598,1852.1535873413088,636.9792103767395,662.5087976455688,650.5280017852783,715.827202796936,696.3135957717896,660.4735970497131,726.201605796814,721.504008769989,110080,110080,110080,110080,110080,110080,110080,110080,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7701.0,71.875,0.11493600159883494,111.16015625,111.16015625,2.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7601.0,71.70249999999999,1.828976035118103,120.28857421875,120.28857421875,0.10498046875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,3.0,15.0,1695.0,7601.0,71.7,1.8733600080013275,120.28857421875,120.28857421875,0.10498046875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.08,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,128,4096,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,292.2646224498821,355.9871971607208,42696.9228386879,42404.658216238015,2.945544132944168,measured,113.66400122642516,119.80800330638884,112.64000087976456,113.63200098276138,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,159.743994474411,151.5520066022873,152.5759994983673,207.87200331687927,178.17600071430206,161.6320013999939,151.5520066022873,180.38399517536163,4385.209608078003,3961.7087841033936,3976.588821411133,4741.120004653931,3950.419235229492,4645.267105102539,4001.6064167022714,4173.983955383301,1181.2416076660156,1171.5263843536377,1321.5743780136108,1354.1183948516846,1242.35520362854,1166.6431903839111,1250.5088090896606,1237.9776000976562,192000,192000,192000,192000,192000,192000,192000,192000,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7701.0,71.875,0.11493600159883494,111.16015625,111.16015625,2.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,5.5,15.0,1695.0,7601.0,71.825,6.966288089752197,136.36669921875,136.36669921875,0.18310546875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,4.25,15.0,1695.0,7601.0,71.9225,6.661127924919128,136.36669921875,136.36669921875,0.18310546875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.08,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,128,8192,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,292.2646224498821,355.9871971607208,42696.9228386879,42404.658216238015,2.945544132944168,measured,113.66400122642516,119.80800330638884,112.64000087976456,113.63200098276138,2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152,180.2240014076233,155.61600029468536,213.85599672794345,156.67200088500977,158.55999290943146,177.40799486637115,264.19198513031006,181.2479943037033,6785.25447845459,7075.270366668701,7196.665573120117,7019.878387451172,6869.235229492188,6843.641662597656,7071.270370483398,7315.686511993408,2171.0591793060303,2308.0639839172363,2478.700828552246,2353.7087440490723,2135.5647563934326,2197.536039352417,2371.6031551361084,2692.3200130462646,355840,355840,355840,355840,355840,355840,355840,355840,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7701.0,71.875,0.11493600159883494,111.16015625,111.16015625,2.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,9.0,15.0,1695.0,7601.0,72.07999999999998,7.198431968688965,168.52294921875,168.52294921875,0.33935546875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,6.75,15.0,1695.0,7701.0,72.3125,7.201056003570557,168.52294921875,168.52294921875,0.33935546875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,72.08,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,256,1024,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,510.4649543762207,1079.4559836387634,53768.11475753784,53257.64980316162,1.9427860253557176,measured,175.10400712490082,176.12800002098083,174.0799993276596,175.10400712490082,4194304,4194304,4194304,4194304,4194304,4194304,4194304,4194304,171.00800573825836,159.743994474411,173.0560064315796,181.0240000486374,154.62400019168854,162.81600296497345,156.67200088500977,154.88000214099884,545.8368062973022,515.116810798645,536.9855999946594,521.177613735199,523.4815955162048,535.6928110122681,522.5919961929321,520.7552075386047,298.95039796829224,270.3167974948883,286.380797624588,268.51199865341187,268.012797832489,291.22560024261475,269.47839856147766,263.68000507354736,81408,81408,81408,81408,81408,81408,81408,81408,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,1.5,15.0,1695.0,7701.0,72.24000000000001,0.17510400339961052,117.16015625,117.16015625,4.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.0,15.0,1695.0,7701.0,71.5425,0.5486320108175278,112.26123046875,112.26123046875,0.07763671875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.5,15.0,1695.0,7701.0,71.765,0.5355519950389862,112.26123046875,112.26123046875,0.07763671875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,71.7,,,,,65.0,65.0,65.0,estimated,
facebook/opt-1.3b,256,2048,24,2048,32,8192,11,100716544,2631516160,25283526655,15170115993,196608,8|16|24|32,510.4649543762207,1079.4559836387634,53768.11475753784,53257.64980316162,1.9427860253557176,measured,175.10400712490082,176.12800002098083,174.0799993276596,175.10400712490082,4194304,4194304,4194304,4194304,4194304,4194304,4194304,4194304,157.56799280643463,155.64799308776855,188.4160041809082,162.81600296497345,163.68000209331512,270.52798867225647,169.98399794101715,234.49599742889404,955.404806137085,942.796802520752,968.729603290558,968.9728021621704,961.1647963523864,953.1327962875366,954.4000029563904,987.9487872123718,393.6576008796692,386.4703953266144,411.219197511673,419.5456027984619,409.19039249420166,404.3071985244751,406.630402803421,504.65919971466064,101888,101888,101888,101888,101888,101888,101888,101888,4096,4096,4096,4096,4096,4096,4096,4096,baseline_nvml_pt,nvidia-smi,ok,True,1.5,15.0,1695.0,7701.0,72.24000000000001,0.17510400339961052,117.16015625,117.16015625,4.0,89.5,54.25,78.75,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,1.75,15.0,1695.0,7701.0,71.705,0.9674959927797318,120.28076171875,120.28076171875,0.09716796875,70.5,73.75,71.00000000000001,estimated,,baseline_nvml_pt,nvidia-smi,ok,True,0.0,15.0,1695.0,7601.0,71.7525,0.9980879873037339,120.28076171875,120.28076171875,0.09716796875,63.25000000000001,82.5,66.5,estimated,,baseline_nvml_pt,nvidia-smi,partial,True,0.0,15.0,1695.0,7601.0,71.7,,,,,65.0,65.0,65.0,estimated,
